,task_reward,velocity_penalty,position_penalty,acceleration_penalty,velocity_over_limit,position_over_limit,acceleration_over_limit,control_penalty,net_reward
0,-0.5560403139236887,-0.007515920787378271,-0.007000000000000003,-0.057891309211762325,0.0,0.0,0.00250244140625,-0.0724072299991406,-0.6284475439228292
0,-0.5279941726635382,-0.007482410018328099,-0.007000000000000003,-0.05375380994589186,0.0,0.0,0.001983642578125,-0.06823621996421995,-0.5962303926277581
0,-0.5336409345407929,-0.007443209713439771,-0.007000000000000003,-0.0504188528843522,0.0,0.0,0.001922607421875,-0.06486206259779197,-0.5985029971385849
0,-0.5337245299828057,-0.007414089232471504,-0.007000000000000003,-0.04756694992167433,0.0,0.0,0.002105712890625,-0.061981039154145844,-0.5957055691369516
0,-0.5538332297853504,-0.007384366167568008,-0.007000000000000003,-0.04492039477219833,0.0,0.0,0.00189208984375,-0.05930476093976633,-0.6131379907251169
0,-0.5379118729329497,-0.007355654377222139,-0.007000000000000003,-0.04217161495073284,0.0,0.0,0.00201416015625,-0.056527269327954974,-0.5944391422609048
0,-0.5142092114296255,-0.0073296601393688715,-0.007000000000000003,-0.039822267464120265,0.0,0.0,0.00201416015625,-0.054151927603489136,-0.5683611390331145
0,-0.5466119125240176,-0.007303246130048745,-0.007000000000000003,-0.03753355473152739,0.0,0.0,0.001983642578125,-0.05183680086157613,-0.5984487133855938
0,-0.5155888416544359,-0.007281503045320377,-0.007000000000000003,-0.03551581118523904,0.0,0.0,0.001922607421875,-0.04979731423055943,-0.5653861558849953
0,-0.5474798860189996,-0.007266168086844885,-0.007000000000000003,-0.03421354227530483,0.0,0.0,0.002044677734375,-0.048479710362149715,-0.5959595963811493
0,-0.5536941365043164,-0.00724662790265044,-0.007000000000000003,-0.032518640993843606,0.0,0.0,0.001953125,-0.046765268896494044,-0.6004594054008104
0,-0.5239537854765453,-0.0072275910199694655,-0.007000000000000003,-0.03144497054779909,0.0,0.0,0.00250244140625,-0.045672561567768555,-0.5696263470443137
0,-0.5169529010019344,-0.007212894856293538,-0.007000000000000003,-0.029423332827931727,0.0,0.0,0.001953125,-0.04363622768422526,-0.5605891286861596
0,-0.5250754469780576,-0.007196139644801599,-0.007000000000000003,-0.027970107185574855,0.0,0.0,0.001922607421875,-0.04216624683037645,-0.567241693808434
0,-0.5294950142157555,-0.007185514802262278,-0.007000000000000003,-0.026962150042732266,0.0,0.0,0.001922607421875,-0.04114766484499455,-0.5706426790607502
0,-0.5284291913307997,-0.0071736210384291555,-0.007000000000000003,-0.02599965301578705,0.0,0.0,0.001983642578125,-0.04017327405421621,-0.5686024653850159
0,-0.5068480542033875,-0.007163082142462851,-0.007000000000000003,-0.024865319472702322,0.0,0.0,0.002044677734375,-0.03902840161516517,-0.5458764558185528
0,-0.5367233192927402,-0.007153843623593201,-0.007000000000000003,-0.02419358425320755,0.0,0.0,0.00189208984375,-0.038347427876800746,-0.575070747169541
0,-0.5438679846023297,-0.007143624252688791,-0.007000000000000003,-0.023287441082230347,0.0,0.0,0.001983642578125,-0.037431065334919134,-0.5812990499372488
0,-0.5207167941337101,-0.0071339781329258336,-0.007000000000000003,-0.022210405283520807,0.0,0.0,0.001922607421875,-0.03634438341644665,-0.5570611775501568
0,-0.5201004944086491,-0.0071266531242807855,-0.007000000000000003,-0.021571196784273387,0.0,0.0,0.0020751953125,-0.03569784990855417,-0.5557983443172033
